OPE ID,School,State,Zip Code,School Type,Dependent Students_Q1,Independent Students_Q1,Quarterly Total_Q1,Dependent Students_Q2,Independent Students_Q2,Quarterly Total_Q2,Dependent Students_Q3,Independent Students_Q3,Quarterly Total_Q3,Dependent Students_Q4,Independent Students_Q4,Quarterly Total_Q4,Dependent Students_Q5,Independent Students_Q5,Quarterly Total_Q5
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,414,157,571,292,134,426,243,188,431,105,114,219,34,90,124
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,"4,726","1,908","6,634","2,311","2,420","4,731","1,734","2,702","4,436","1,076","2,304","3,380",340,963,"1,303"
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,"3,810",509,"4,319","1,493",333,"1,826",794,293,"1,087",462,222,684,271,83,354
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,"30,775","2,931","33,706","8,224","2,546","10,770","4,395","2,206","6,601","2,373","1,520","3,893","1,106",731,"1,837"
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,"8,839","2,459","11,298","3,688","3,068","6,756","2,650","3,174","5,824","1,316","2,045","3,361",548,793,"1,341"
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,"4,895",742,"5,637","2,146",894,"3,040","1,553",923,"2,476",839,738,"1,577",312,311,623
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,"6,326","1,475","7,801","2,728","1,960","4,688","2,246","2,300","4,546","1,141","1,595","2,736",379,643,"1,022"
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,911,676,"1,587",667,703,"1,370",687,962,"1,649",461,972,"1,433",140,372,512
00106000,COASTAL ALABAMA COMMUNITY COLLEGE       ,AL,36507-2698,Public       ,"1,385",676,"2,061","1,041",790,"1,831","1,112","1,061","2,173",727,953,"1,680",201,394,595
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,237,299,536,174,269,443,187,360,547,116,341,457,60,171,231
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,892,508,"1,400",736,529,"1,265",746,721,"1,467",469,637,"1,106",159,238,397
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,68,100,168,73,103,176,109,181,290,65,149,214,14,44,58
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,523,262,785,539,353,892,378,420,798,283,402,685,55,183,238
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,182,172,354,215,210,425,252,290,542,184,281,465,37,88,125
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,686,423,"1,109",472,450,922,409,502,911,228,505,733,62,200,262
00573400,H. COUNCILL TRENHOLM STATE COMMUNITY COL,AL,36108-0020,Public       ,325,472,797,340,410,750,464,663,"1,127",313,696,"1,009",85,225,310
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,"1,393",607,"2,000","1,070",649,"1,719",923,897,"1,820",574,675,"1,249",154,311,465
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,"1,629",669,"2,298","1,330","1,008","2,338",859,894,"1,753",407,631,"1,038",111,236,347
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,343,190,533,278,183,461,290,248,538,148,218,366,42,105,147
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,198,271,469,227,284,511,217,362,579,186,375,561,48,151,199
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,83,125,208,75,194,269,73,222,295,35,190,225,17,74,91
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,9,36,45,9,69,78,16,65,81,15,69,84,0,41,41
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,10,19,29,13,24,37,6,34,40,8,39,47,1,12,13
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,49,50,99,45,42,87,28,41,69,13,34,47,14,15,29
02341000,FORTIS COLLEGE                          ,AL,36608-3712,Proprietary  ,77,288,365,127,523,650,144,545,689,116,481,597,60,285,345
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,23,123,146,26,174,200,35,198,233,18,332,350,3,67,70
03002500,J.F. INGRAM STATE TECHNICAL COLLEGE     ,AL,36022-0350,Public       ,8,20,28,4,8,12,6,5,11,2,9,11,1,2,3
03361400,FORTIS COLLEGE                          ,AL,36303-7859,Proprietary  ,32,184,216,,,,89,395,484,83,344,427,59,215,274
03709302,EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATH,AL,36832-6330,Private      ,4,66,70,2,377,379,1,287,288,0,17,17,0,4,4
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,25,55,80,25,76,101,39,56,95,28,66,94,10,44,54
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,10,20,30,6,30,36,9,45,54,4,53,57,2,19,21
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,26,25,51,19,57,76,25,59,84,10,41,51,6,22,28
04067300,SELMA UNIVERSITY                        ,AL,36701-5232,Private      ,16,11,27,14,11,25,24,29,53,7,22,29,4,6,10
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,114,"1,219","1,333",156,"3,768","3,924",187,"4,003","4,190",126,"2,615","2,741",78,"1,679","1,757"
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,40,41,81,46,59,105,30,40,70,17,33,50,11,23,34
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35951-0000,Proprietary  ,17,26,43,23,33,56,30,51,81,16,36,52,9,13,22
04197500,UNIVERSITY ACADEMY OF HAIR DESIGN       ,AL,35401-5621,Proprietary  ,14,15,29,11,19,30,19,27,46,11,24,35,5,5,10
04211000,SALON PROFESSIONAL ACADEMY (THE)        ,AL,35816-1849,Proprietary  ,28,24,52,38,29,67,31,38,69,5,35,40,9,13,22
04226700,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE ,AL,36303-2251,Private      ,26,161,187,14,427,441,13,367,380,6,63,69,3,14,17
04229400,MIDFIELD INSTITUTE OF COSMETOLOGY       ,AL,35228-2233,Private      ,12,16,28,13,21,34,8,29,37,3,20,23,5,14,19
04255500,ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSM,AL,36545-2718,Proprietary  ,56,39,95,45,36,81,41,74,115,18,64,82,11,27,38
04267900,BROWN BEAUTY BARBER SCHOOL              ,AL,35020-5016,Proprietary  ,7,13,20,10,30,40,14,26,40,9,33,42,1,10,11
04273500,WINONAH'S INTERNATIONAL SCHOOL OF COSMET,AL,35244-7103,Proprietary  ,18,32,50,10,49,59,12,53,65,9,47,56,6,24,30
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,"1,967",949,"2,916","1,849","1,107","2,956",599,972,"1,571",386,793,"1,179",200,469,669
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,"2,113","1,565","3,678","2,622","1,933","4,555","1,664","2,188","3,852","1,121","1,858","2,979",449,"1,138","1,587"
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,"1,389",268,"1,657",938,445,"1,383",189,139,328,128,108,236,96,73,169
00111700,AZUSA PACIFIC UNIVERSITY                ,CA,91702-7000,Private      ,"3,157","1,214","4,371","1,960","2,483","4,443",506,"1,343","1,849",237,"1,041","1,278",133,554,687
00111800,BAKERSFIELD COLLEGE                     ,CA,93305-1299,Public       ,"4,937","2,738","7,675","5,156","2,982","8,138","1,826","2,661","4,487","1,406","3,529","4,935",645,"3,062","3,707"
00111900,BARSTOW COMMUNITY COLLEGE               ,CA,92311-6608,Public       ,251,561,812,338,705,"1,043",219,744,963,202,878,"1,080",85,487,572
00112000,BERKELEY SCHOOL OF THEOLOGY             ,CA,94704-0000,Private      ,28,23,51,25,32,57,4,29,33,6,36,42,3,14,17
00112200,BIOLA UNIVERSITY                        ,CA,90639-0001,Private      ,"2,867",610,"3,477","1,738",744,"2,482",488,475,963,235,290,525,88,159,247
00112400,CABRILLO COLLEGE                        ,CA,95003-3194,Public       ,"1,123",554,"1,677","1,690",958,"2,648",537,626,"1,163",439,711,"1,150",169,333,502
00112500,CALIFORNIA BAPTIST UNIVERSITY           ,CA,92504-3297,Private      ,"5,923","1,593","7,516","4,140","3,080","7,220","1,298","1,692","2,990",633,"1,181","1,814",230,519,749
00112700,CALIFORNIA COLLEGE OF THE ARTS          ,CA,94107-2206,Private      ,"1,978",225,"2,203",939,383,"1,322",230,168,398,138,108,246,106,73,179
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY      ,CA,91125-0001,Private      ,"8,906",405,"9,311","1,755",334,"2,089",236,135,371,243,109,352,222,66,288
00113200,CALIFORNIA INSTITUTE OF THE ARTS        ,CA,91355-2397,Private      ,"2,578",337,"2,915","1,077",568,"1,645",268,161,429,171,128,299,110,56,166
00113300,CALIFORNIA LUTHERAN UNIVERSITY          ,CA,91360-2787,Private      ,"3,163",375,"3,538","1,603",484,"2,087",387,306,693,188,208,396,120,96,216
00113400,CALIFORNIA STATE UNIVERSITY MARITIME ACA,CA,94590-8181,Public       ,483,89,572,498,125,623,82,46,128,42,52,94,31,17,48
00113700,CALIF STATE UNIV-FULLERTON              ,CA,92831-3599,Public       ,"35,204","7,167","42,371","29,664","10,574","40,238","3,318","3,126","6,444","1,680","1,954","3,634","1,109",996,"2,105"
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY   ",CA,94542-3000,Public       ,"7,411","2,755","10,166","7,420","4,543","11,963",858,"1,846","2,704",489,"1,117","1,606",290,514,804
00113900,CALIF STATE UNIV-LONG BEACH             ,CA,90840-0006,Public       ,"45,752","8,168","53,920","36,470","12,767","49,237","2,785","2,789","5,574","1,726","1,808","3,534","1,447","1,036","2,483"
00114000,CALIF STATE UNIV-LOS ANGELES            ,CA,90032-4226,Public       ,"23,545","6,106","29,651","23,268","10,315","33,583","2,352","3,213","5,565","1,051","1,743","2,794",713,894,"1,607"
00114100,"CALIF STATE UNIV, DOMINGUEZ HILLS       ",CA,90747-0001,Public       ,"11,951","3,799","15,750","12,860","6,414","19,274","1,108","1,947","3,055",552,"1,271","1,823",342,598,940
00114200,CALIF STATE UNIV SAN BERNARDINO         ,CA,92407-2397,Public       ,"12,896","4,655","17,551","9,845","6,178","16,023",,,,,,,,,
00114300,CAL POLY STATE UNIVERSITY               ,CA,93407-0001,Public       ,"34,564","1,530","36,094","20,165","2,244","22,409","1,934",600,"2,534","1,135",403,"1,538",926,216,"1,142"
00114400,CALIF STATE POLYTECHNIC UNIV POMONA     ,CA,91768-2500,Public       ,"24,472","3,902","28,374","22,114","6,718","28,832","1,493","1,313","2,806",889,"1,058","1,947",699,438,"1,137"
00114600,CALIF STATE UNIV - CHICO                ,CA,95929-0001,Public       ,"11,785","2,064","13,849","10,260","2,826","13,086","1,358","1,103","2,461",719,754,"1,473",440,373,813
00114700,CALIF STATE UNIV - FRESNO               ,CA,93740-8026,Public       ,"16,936","3,851","20,787","13,596","5,356","18,952","2,080","2,273","4,353","1,259","1,557","2,816",616,783,"1,399"
00114900,HUMBOLDT STATE UNIVERSITY               ,CA,95521-8299,Public       ,"6,103","1,323","7,426","3,608","1,344","4,952",518,585,"1,103",253,360,613,201,150,351
00115000,CALIF STATE UNIV-SACRAMENTO             ,CA,95819-6044,Public       ,"20,819","5,220","26,039","18,542","7,804","26,346","3,301","3,405","6,706","1,195","1,595","2,790",801,897,"1,698"
00115100,SAN DIEGO STATE UNIVERSITY              ,CA,92182-1690,Public       ,"46,202","6,080","52,282","29,990","7,891","37,881","5,070","3,951","9,021","2,339","2,185","4,524","1,538",960,"2,498"
00115300,CALIF STATE UNIV-NORTHRIDGE             ,CA,91330-8307,Public       ,"21,303","6,670","27,973","21,407","9,191","30,598","3,098","3,626","6,724","1,438","2,129","3,567",717,"1,069","1,786"
00115400,SAN FRANCISCO STATE UNIVERSITY          ,CA,94132-1740,Public       ,"18,063","3,919","21,982","16,129","6,917","23,046","1,930","1,875","3,805","1,093","1,318","2,411",583,687,"1,270"
00115500,SAN JOSE STATE UNIVERSITY               ,CA,95192-0036,Public       ,"20,840","3,900","24,740","16,952","7,218","24,170","2,476","2,465","4,941","1,301","1,507","2,808",735,780,"1,515"
00115600,SONOMA STATE UNIVERSITY                 ,CA,94928-3609,Public       ,"5,534",944,"6,478","4,564","1,345","5,909",481,381,862,230,254,484,167,138,305
00115700,CALIF STATE UNIV-STANISLAUS             ,CA,95382-0299,Public       ,"5,530","2,095","7,625","5,165","2,884","8,049",790,"1,048","1,838",415,616,"1,031",189,317,506
00116100,CERRITOS COLLEGE                        ,CA,90650-6296,Public       ,"3,904","2,184","6,088","6,363","3,393","9,756","1,483","2,588","4,071",935,"3,464","4,399",387,"2,634","3,021"
00116200,CHABOT COLLEGE                          ,CA,94545-2400,Public       ,"1,491",898,"2,389","2,222","1,464","3,686",933,"1,300","2,233",743,"1,791","2,534",484,"1,444","1,928"
00116300,CHAFFEY COMMUNITY COLLEGE               ,CA,91737-9400,Public       ,"4,002","2,242","6,244","4,425","3,357","7,782","2,258","4,771","7,029","1,451","4,783","6,234",590,"1,289","1,879"
00116400,CHAPMAN UNIVERSITY                      ,CA,92866-1099,Private      ,"10,938","1,043","11,981","4,314","2,013","6,327",846,680,"1,526",538,416,954,352,186,538
00116500,CHURCH DIV SCH OF THE PACIFIC           ,CA,94709-0000,Private      ,0,5,5,1,31,32,0,5,5,0,2,2,0,1,1
00116600,CITRUS COLLEGE                          ,CA,91741-1899,Public       ,"1,989","1,134","3,123","2,858","2,011","4,869",892,"1,132","2,024",771,"1,087","1,858",205,448,653
00116900,CLAREMONT GRADUATE UNIVERSITY           ,CA,91711-6163,Private      ,20,217,237,8,555,563,2,286,288,5,239,244,2,82,84
00117000,CLAREMONT MCKENNA COLLEGE               ,CA,91711-6400,Private      ,"2,424",61,"2,485",684,56,740,74,16,90,44,18,62,49,5,54
00117100,HARVEY MUDD COLLEGE                     ,CA,91711-5990,Private      ,"2,280",37,"2,317",671,33,704,41,7,48,37,3,40,42,3,45
00117200,PITZER COLLEGE                          ,CA,91711-6101,Private      ,"1,495",36,"1,531",620,53,673,74,16,90,31,13,44,22,5,27
00117300,POMONA COLLEGE                          ,CA,91711-6301,Private      ,"4,473",115,"4,588","1,257",120,"1,377",236,43,279,82,27,109,84,21,105
00117400,SCRIPPS COLLEGE                         ,CA,91711-3948,Private      ,"1,660",56,"1,716",497,77,574,139,23,162,37,12,49,31,10,41
00117600,WEST HILLS COMMUNITY COLLEGE            ,CA,93210-1399,Public       ,497,175,672,541,280,821,197,290,487,162,357,519,33,96,129
00117700,UNIVERSITY OF SILICON VALLEY            ,CA,95134-1697,Proprietary  ,335,98,433,246,108,354,88,91,179,61,111,172,42,60,102
00117800,COLLEGE OF MARIN                        ,CA,94904-2590,Public       ,399,245,644,503,341,844,158,267,425,159,311,470,45,173,218
00117900,NOTRE DAME DE NAMUR UNIVERSITY          ,CA,94002-1997,Private      ,33,38,71,14,66,80,2,56,58,5,66,71,2,34,36
00118100,COLLEGE OF SAN MATEO                    ,CA,94402-3784,Public       ,804,383,"1,187","1,457",555,"2,012",355,420,775,233,493,726,81,345,426
00118200,COLLEGE OF THE DESERT                   ,CA,92260-9305,Public       ,"2,126","1,068","3,194","2,419","1,658","4,077","1,064","1,421","2,485",639,"1,374","2,013",312,760,"1,072"
00118300,HOLY NAMES UNIVERSITY                   ,CA,94619-1699,Private      ,368,141,509,413,235,648,14,24,38,3,14,17,0,0,0
00118500,COLLEGE OF THE REDWOODS                 ,CA,95501-9300,Public       ,671,618,"1,289",639,698,"1,337",402,849,"1,251",256,971,"1,227",130,461,591
00118600,COLLEGE OF THE SEQUOIAS                 ,CA,93277-2234,Public       ,"2,916","1,288","4,204","3,093","1,710","4,803","1,245","1,433","2,678",831,"1,126","1,957",353,621,974
00118700,COLLEGE OF THE SISKIYOUS                ,CA,96094-2899,Public       ,147,113,260,282,187,469,121,246,367,106,456,562,35,197,232
00119000,CONTRA COSTA COLLEGE                    ,CA,94806-3195,Public       ,606,437,"1,043","1,039",730,"1,769",362,730,"1,092",298,669,967,139,364,503
00119100,DIABLO VALLEY COLLEGE                   ,CA,94523-1544,Public       ,"1,345",736,"2,081","2,514","1,499","4,013","1,136","1,081","2,217","1,000","1,128","2,128",411,535,946
00119200,CUESTA COLLEGE                          ,CA,93403-8106,Public       ,"1,164",815,"1,979","1,743",973,"2,716",688,619,"1,307",477,665,"1,142",199,669,868
00119300,CYPRESS COLLEGE                         ,CA,90630-5897,Public       ,"2,980","1,584","4,564","4,622","2,363","6,985","1,140","1,485","2,625","1,011","1,652","2,663",412,734,"1,146"
00119600,DOMINICAN UNIVERSITY OF CALIFORNIA      ,CA,94901-2298,Private      ,"1,228",242,"1,470",727,338,"1,065",193,230,423,87,141,228,39,75,114
00119700,EL CAMINO COLLEGE                       ,CA,90506-0002,Public       ,"3,310","1,793","5,103","5,867","3,037","8,904","1,534","2,068","3,602","1,140","2,852","3,992",377,937,"1,314"
00119900,FOOTHILL COLLEGE                        ,CA,94022-4597,Public       ,"1,093",541,"1,634","1,546",983,"2,529",638,755,"1,393",556,818,"1,374",184,605,789
00120000,FULLER THEOLOGICAL SEMINARY             ,CA,91182-0000,Private      ,5,124,129,3,364,367,1,262,263,0,156,156,0,88,88
00120100,FULLERTON COLLEGE                       ,CA,92832-2095,Public       ,"3,983","1,734","5,717","6,115","2,361","8,476","1,591","1,964","3,555","1,343","3,070","4,413",517,992,"1,509"
00120200,GAVILAN COLLEGE                         ,CA,95020-9599,Public       ,502,313,815,793,490,"1,283",375,480,855,384,633,"1,017",106,254,360
00120300,GLENDALE COMMUNITY COLLEGE              ,CA,91208-2894,Public       ,"1,645","1,184","2,829","3,382","2,232","5,614","1,022","1,512","2,534",715,"1,476","2,191",307,839,"1,146"
00120500,GOLDEN GATE UNIVERSITY                  ,CA,94105-2967,Private      ,221,462,683,97,774,871,74,714,788,41,430,471,20,181,201
00120600,GOLDEN WEST COLLEGE                     ,CA,92647-2748,Public       ,"1,943",875,"2,818","2,694","1,473","4,167",949,"1,036","1,985",625,953,"1,578",249,498,747
00120700,GRADUATE THEOLOGICAL UNION              ,CA,94709-0000,Private      ,1,23,24,1,36,37,0,23,23,1,23,24,0,9,9
00120800,GROSSMONT COLLEGE                       ,CA,92020-1799,Public       ,"2,327","1,507","3,834","3,003","1,884","4,887","1,261","1,589","2,850",928,"1,412","2,340",314,765,"1,079"
00120900,HARTNELL COMMUNITY COLLEGE              ,CA,93901-1697,Public       ,"2,031",619,"2,650","2,511",922,"3,433",699,598,"1,297",471,589,"1,060",175,281,456
00121200,HUMPHREYS UNIVERSITY                    ,CA,95207-3896,Private      ,63,119,182,55,154,209,17,125,142,10,122,132,7,74,81
00121400,IMPERIAL VALLEY COLLEGE                 ,CA,92251-9787,Public       ,"1,616",653,"2,269","1,925","1,103","3,028",739,838,"1,577",802,"1,025","1,827",231,377,608
00121500,LA SIERRA UNIVERSITY                    ,CA,92515-3332,Private      ,"1,540",225,"1,765","1,080",376,"1,456",,,,,,,,,
00121600,UNIVERSITY OF LA VERNE                  ,CA,91750-4443,Private      ,"3,692","1,239","4,931","2,275","2,081","4,356",408,867,"1,275",216,661,877,115,288,403
00121700,LASSEN COLLEGE                          ,CA,96130-3000,Public       ,96,96,192,118,110,228,89,132,221,88,124,212,19,69,88
00121800,LOMA LINDA UNIVERSITY                   ,CA,92350-0001,Private      ,"1,060","1,126","2,186",514,"2,292","2,806",158,"1,055","1,213",101,467,568,57,197,254
00121900,LONG BEACH CITY COLLEGE                 ,CA,90808-1780,Public       ,"4,410","3,062","7,472","8,282","4,965","13,247","1,909","3,019","4,928","1,885","3,712","5,597",547,"1,500","2,047"
00122000,MASTER'S COLLEGE & SEMINARY (THE)       ,CA,91321-1200,Private      ,812,78,890,574,160,734,249,154,403,86,109,195,34,57,91
00122300,LOS ANGELES CITY COLLEGE                ,CA,90029-3588,Public       ,"2,249","1,961","4,210","3,736","3,724","7,460",792,"2,325","3,117",649,"2,378","3,027",245,"1,151","1,396"
00122400,LOS ANGELES HARBOR COLLEGE              ,CA,90744-2397,Public       ,717,575,"1,292","1,739","1,224","2,963",297,676,973,364,800,"1,164",107,302,409
00122600,LOS ANGELES PIERCE COLLEGE              ,CA,91371-0001,Public       ,"2,189","1,293","3,482","4,322","2,585","6,907","1,002","1,597","2,599",872,"5,136","6,008",366,"3,092","3,458"
00122700,LOS ANGELES TRADE TECH COLLEGE          ,CA,90015-4181,Public       ,"2,323","1,610","3,933","4,129","2,876","7,005","1,028","1,899","2,927",739,"1,829","2,568",326,936,"1,262"
00122800,LOS ANGELES VALLEY COLLEGE              ,CA,91401-4096,Public       ,"1,605","1,317","2,922","3,373","2,816","6,189",831,"1,574","2,405",662,"1,957","2,619",309,934,"1,243"
00122900,SO CA UNIV  HEALTH SCIENCES             ,CA,90604-4051,Private      ,24,350,374,31,498,529,13,396,409,14,449,463,5,144,149
00123000,MARSHALL B. KETCHUM UNIVERSITY          ,CA,92831-1699,Private      ,26,202,228,20,494,514,3,147,150,7,48,55,2,18,20
00123200,AMERICAN RIVER COLLEGE                  ,CA,95841-4286,Public       ,"3,835","3,226","7,061","5,465","4,997","10,462","2,431","4,449","6,880","1,348","3,221","4,569",705,"2,199","2,904"
00123300,SACRAMENTO CITY COLLEGE                 ,CA,95822-1386,Public       ,"3,701","2,638","6,339","5,086","4,148","9,234","2,039","3,530","5,569","1,120","2,464","3,584",563,"1,656","2,219"
00123600,MENLO COLLEGE                           ,CA,94027-4301,Private      ,433,36,469,340,44,384,117,34,151,68,19,87,31,12,43
00123700,MERCED COMMUNITY COLLEGE                ,CA,95348-2898,Public       ,"2,323",987,"3,310","2,683","1,248","3,931",945,"1,087","2,032",881,"1,192","2,073",307,590,897
00123900,MIRACOSTA COLLEGE                       ,CA,92056-3899,Public       ,"1,561","1,175","2,736","1,775","1,774","3,549","1,082","1,711","2,793",711,"1,854","2,565",226,690,916
00124000,MODESTO JUNIOR COLLEGE                  ,CA,95350-5800,Public       ,"3,465","2,547","6,012","3,591","2,611","6,202","1,863","2,245","4,108","1,143","1,641","2,784",497,"1,068","1,565"
00124200,MONTEREY PENINSULA COLLEGE              ,CA,93940-4799,Public       ,"1,159",585,"1,744","1,160",640,"1,800",470,662,"1,132",308,618,926,145,317,462
