OPE ID,School,State,Zip Code,School Type,Dependent Students,Independent Students,Quarterly Total,nan
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,"8,224","2,546","10,770",
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,"3,688","3,068","6,756",
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,"2,146",894,"3,040",
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,"2,728","1,960","4,688",
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,667,703,"1,370",
00106000,COASTAL ALABAMA COMMUNITY COLLEGE       ,AL,36507-2698,Public       ,"1,041",790,"1,831",
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,174,269,443,
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,736,529,"1,265",
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,73,103,176,
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,539,353,892,
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,215,210,425,
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,472,450,922,
00573400,H. COUNCILL TRENHOLM STATE COMMUNITY COL,AL,36108-0020,Public       ,340,410,750,
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,"1,070",649,"1,719",
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,"1,330","1,008","2,338",
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,278,183,461,
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,227,284,511,
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,75,194,269,
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,9,69,78,
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,13,24,37,
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,45,42,87,
02341000,FORTIS COLLEGE                          ,AL,36608-3712,Proprietary  ,127,523,650,
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,26,174,200,
03002500,J.F. INGRAM STATE TECHNICAL COLLEGE     ,AL,36022-0350,Public       ,4,8,12,
03010600,VIRGINIA COLLEGE                        ,AL,35209-5154,Proprietary  ,16,52,68,
03361400,FORTIS COLLEGE                          ,AL,36535-0000,Proprietary  ,48,334,382,
03709302,EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATH,AL,36832-6330,Private      ,2,377,379,
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,25,76,101,
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,6,30,36,
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,19,57,76,
04067300,SELMA UNIVERSITY                        ,AL,36701-5232,Private      ,14,11,25,
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,156,"3,768","3,924",
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,46,59,105,
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35951-0000,Proprietary  ,23,33,56,
04197500,UNIVERSITY ACADEMY OF HAIR DESIGN       ,AL,35401-5621,Proprietary  ,11,19,30,
04211000,SALON PROFESSIONAL ACADEMY (THE)        ,AL,35816-1849,Proprietary  ,38,29,67,
04226700,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE ,AL,36303-2251,Private      ,14,427,441,
04229400,MIDFIELD INSTITUTE OF COSMETOLOGY       ,AL,35228-2233,Private      ,13,21,34,
04255500,ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSM,AL,36545-2718,Proprietary  ,45,36,81,
04267900,BROWN BEAUTY BARBER SCHOOL              ,AL,35020-5016,Proprietary  ,10,30,40,
04273500,WINONAH'S INTERNATIONAL SCHOOL OF COSMET,AL,35244-7103,Proprietary  ,10,49,59,
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,"1,849","1,107","2,956",
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,"2,622","1,933","4,555",
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,938,445,"1,383",
00111700,AZUSA PACIFIC UNIVERSITY                ,CA,91702-7000,Private      ,"1,960","2,483","4,443",
00111800,BAKERSFIELD COLLEGE                     ,CA,93305-1299,Public       ,"5,156","2,982","8,138",
00111900,BARSTOW COMMUNITY COLLEGE               ,CA,92311-6608,Public       ,338,705,"1,043",
00112000,BERKELEY SCHOOL OF THEOLOGY             ,CA,94704-0000,Private      ,25,32,57,
00112200,BIOLA UNIVERSITY                        ,CA,90639-0001,Private      ,"1,738",744,"2,482",
00112400,CABRILLO COLLEGE                        ,CA,95003-3194,Public       ,"1,690",958,"2,648",
00112500,CALIFORNIA BAPTIST UNIVERSITY           ,CA,92504-3297,Private      ,"4,140","3,080","7,220",
00112700,CALIFORNIA COLLEGE OF THE ARTS          ,CA,94107-2206,Private      ,939,383,"1,322",
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY      ,CA,91125-0001,Private      ,"1,755",334,"2,089",
00113200,CALIFORNIA INSTITUTE OF THE ARTS        ,CA,91355-2397,Private      ,"1,077",568,"1,645",
00113300,CALIFORNIA LUTHERAN UNIVERSITY          ,CA,91360-2787,Private      ,"1,603",484,"2,087",
00113400,CALIFORNIA STATE UNIVERSITY MARITIME ACA,CA,94590-8181,Public       ,498,125,623,
00113700,CALIF STATE UNIV-FULLERTON              ,CA,92831-3599,Public       ,"29,664","10,574","40,238",
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY   ",CA,94542-3000,Public       ,"7,420","4,543","11,963",
00113900,CALIF STATE UNIV-LONG BEACH             ,CA,90840-0006,Public       ,"36,470","12,767","49,237",
00114000,CALIF STATE UNIV-LOS ANGELES            ,CA,90032-4226,Public       ,"23,268","10,315","33,583",
00114100,"CALIF STATE UNIV, DOMINGUEZ HILLS       ",CA,90747-0001,Public       ,"12,860","6,414","19,274",
00114200,CALIF STATE UNIV SAN BERNARDINO         ,CA,92407-2397,Public       ,"9,845","6,178","16,023",
00114300,CAL POLY STATE UNIVERSITY               ,CA,93407-0001,Public       ,"20,165","2,244","22,409",
00114400,CALIF STATE POLYTECHNIC UNIV POMONA     ,CA,91768-2500,Public       ,"22,114","6,718","28,832",
00114600,CALIF STATE UNIV - CHICO                ,CA,95929-0001,Public       ,"10,260","2,826","13,086",
00114700,CALIF STATE UNIV - FRESNO               ,CA,93740-8026,Public       ,"13,596","5,356","18,952",
00114900,HUMBOLDT STATE UNIVERSITY               ,CA,95521-8299,Public       ,"3,608","1,344","4,952",
00115000,CALIF STATE UNIV-SACRAMENTO             ,CA,95819-6044,Public       ,"18,542","7,804","26,346",
00115100,SAN DIEGO STATE UNIVERSITY              ,CA,92182-1690,Public       ,"29,990","7,891","37,881",
00115300,CALIF STATE UNIV-NORTHRIDGE             ,CA,91330-8307,Public       ,"21,407","9,191","30,598",
00115400,SAN FRANCISCO STATE UNIVERSITY          ,CA,94132-1740,Public       ,"16,129","6,917","23,046",
00115500,SAN JOSE STATE UNIVERSITY               ,CA,95192-0036,Public       ,"16,952","7,218","24,170",
00115600,SONOMA STATE UNIVERSITY                 ,CA,94928-3609,Public       ,"4,564","1,345","5,909",
00115700,CALIF STATE UNIV-STANISLAUS             ,CA,95382-0299,Public       ,"5,165","2,884","8,049",
00116100,CERRITOS COLLEGE                        ,CA,90650-6296,Public       ,"6,363","3,393","9,756",
00116200,CHABOT COLLEGE                          ,CA,94545-2400,Public       ,"2,222","1,464","3,686",
00116300,CHAFFEY COMMUNITY COLLEGE               ,CA,91737-9400,Public       ,"4,425","3,357","7,782",
00116400,CHAPMAN UNIVERSITY                      ,CA,92866-1099,Private      ,"4,314","2,013","6,327",
00116500,CHURCH DIV SCH OF THE PACIFIC           ,CA,94709-0000,Private      ,1,31,32,
00116600,CITRUS COLLEGE                          ,CA,91741-1899,Public       ,"2,858","2,011","4,869",
00116900,CLAREMONT GRADUATE UNIVERSITY           ,CA,91711-6163,Private      ,8,555,563,
00117000,CLAREMONT MCKENNA COLLEGE               ,CA,91711-6400,Private      ,684,56,740,
00117100,HARVEY MUDD COLLEGE                     ,CA,91711-5990,Private      ,671,33,704,
00117200,PITZER COLLEGE                          ,CA,91711-6101,Private      ,620,53,673,
00117300,POMONA COLLEGE                          ,CA,91711-6301,Private      ,"1,257",120,"1,377",
00117400,SCRIPPS COLLEGE                         ,CA,91711-3948,Private      ,497,77,574,
00117600,WEST HILLS COMMUNITY COLLEGE            ,CA,93210-1399,Public       ,541,280,821,
00117700,UNIVERSITY OF SILICON VALLEY            ,CA,95134-1697,Proprietary  ,246,108,354,
00117800,COLLEGE OF MARIN                        ,CA,94904-2590,Public       ,503,341,844,
00117900,NOTRE DAME DE NAMUR UNIVERSITY          ,CA,94002-1997,Private      ,14,66,80,
00118100,COLLEGE OF SAN MATEO                    ,CA,94402-3784,Public       ,"1,457",555,"2,012",
00118200,COLLEGE OF THE DESERT                   ,CA,92260-9305,Public       ,"2,419","1,658","4,077",
00118300,HOLY NAMES UNIVERSITY                   ,CA,94619-1699,Private      ,413,235,648,
00118500,COLLEGE OF THE REDWOODS                 ,CA,95501-9300,Public       ,639,698,"1,337",
00118600,COLLEGE OF THE SEQUOIAS                 ,CA,93277-2234,Public       ,"3,093","1,710","4,803",
00118700,COLLEGE OF THE SISKIYOUS                ,CA,96094-2899,Public       ,282,187,469,
00119000,CONTRA COSTA COLLEGE                    ,CA,94806-3195,Public       ,"1,039",730,"1,769",
00119100,DIABLO VALLEY COLLEGE                   ,CA,94523-1544,Public       ,"2,514","1,499","4,013",
00119200,CUESTA COLLEGE                          ,CA,93403-8106,Public       ,"1,743",973,"2,716",
00119300,CYPRESS COLLEGE                         ,CA,90630-5897,Public       ,"4,622","2,363","6,985",
00119600,DOMINICAN UNIVERSITY OF CALIFORNIA      ,CA,94901-2298,Private      ,727,338,"1,065",
00119700,EL CAMINO COLLEGE                       ,CA,90506-0002,Public       ,"5,867","3,037","8,904",
00119900,FOOTHILL COLLEGE                        ,CA,94022-4597,Public       ,"1,546",983,"2,529",
00120000,FULLER THEOLOGICAL SEMINARY             ,CA,91182-0000,Private      ,3,364,367,
00120100,FULLERTON COLLEGE                       ,CA,92832-2095,Public       ,"6,115","2,361","8,476",
00120200,GAVILAN COLLEGE                         ,CA,95020-9599,Public       ,793,490,"1,283",
00120300,GLENDALE COMMUNITY COLLEGE              ,CA,91208-2894,Public       ,"3,382","2,232","5,614",
00120500,GOLDEN GATE UNIVERSITY                  ,CA,94105-2967,Private      ,97,774,871,
00120600,GOLDEN WEST COLLEGE                     ,CA,92647-2748,Public       ,"2,694","1,473","4,167",
00120700,GRADUATE THEOLOGICAL UNION              ,CA,94709-0000,Private      ,1,36,37,
00120800,GROSSMONT COLLEGE                       ,CA,92020-1799,Public       ,"3,003","1,884","4,887",
00120900,HARTNELL COMMUNITY COLLEGE              ,CA,93901-1697,Public       ,"2,511",922,"3,433",
00121200,HUMPHREYS UNIVERSITY                    ,CA,95207-3896,Private      ,55,154,209,
00121400,IMPERIAL VALLEY COLLEGE                 ,CA,92251-9787,Public       ,"1,925","1,103","3,028",
00121500,LA SIERRA UNIVERSITY                    ,CA,92515-3332,Private      ,"1,080",376,"1,456",
00121600,UNIVERSITY OF LA VERNE                  ,CA,91750-4443,Private      ,"2,275","2,081","4,356",
00121700,LASSEN COLLEGE                          ,CA,96130-3000,Public       ,118,110,228,
00121800,LOMA LINDA UNIVERSITY                   ,CA,92350-0001,Private      ,514,"2,292","2,806",
00121900,LONG BEACH CITY COLLEGE                 ,CA,90808-1780,Public       ,"8,282","4,965","13,247",
00122000,MASTER'S COLLEGE & SEMINARY (THE)       ,CA,91321-1200,Private      ,574,160,734,
00122300,LOS ANGELES CITY COLLEGE                ,CA,90029-3588,Public       ,"3,736","3,724","7,460",
00122400,LOS ANGELES HARBOR COLLEGE              ,CA,90744-2397,Public       ,"1,739","1,224","2,963",
00122600,LOS ANGELES PIERCE COLLEGE              ,CA,91371-0001,Public       ,"4,322","2,585","6,907",
00122700,LOS ANGELES TRADE TECH COLLEGE          ,CA,90015-4181,Public       ,"4,129","2,876","7,005",
00122800,LOS ANGELES VALLEY COLLEGE              ,CA,91401-4096,Public       ,"3,373","2,816","6,189",
00122900,SO CA UNIV  HEALTH SCIENCES             ,CA,90604-4051,Private      ,31,498,529,
00123000,MARSHALL B. KETCHUM UNIVERSITY          ,CA,92831-1699,Private      ,20,494,514,
00123200,AMERICAN RIVER COLLEGE                  ,CA,95841-4286,Public       ,"5,465","4,997","10,462",
00123300,SACRAMENTO CITY COLLEGE                 ,CA,95822-1386,Public       ,"5,086","4,148","9,234",
00123600,MENLO COLLEGE                           ,CA,94027-4301,Private      ,340,44,384,
00123700,MERCED COMMUNITY COLLEGE                ,CA,95348-2898,Public       ,"2,683","1,248","3,931",
00123800,MILLS COLLEGE                           ,CA,94613-1301,Private      ,137,156,293,
00123900,MIRACOSTA COLLEGE                       ,CA,92056-3899,Public       ,"1,775","1,774","3,549",
00124000,MODESTO JUNIOR COLLEGE                  ,CA,95350-5800,Public       ,"3,591","2,611","6,202",
00124200,MONTEREY PENINSULA COLLEGE              ,CA,93940-4799,Public       ,"1,160",640,"1,800",
00124300,MOUNT SAINT MARY'S UNIVERSITY           ,CA,90049-1599,Private      ,"1,044",754,"1,798",
00124500,MT. SAN ANTONIO COLLEGE                 ,CA,91789-1399,Public       ,"7,053","4,895","11,948",
00124600,MT SAN JACINTO COLLEGE                  ,CA,92583-2399,Public       ,"3,432","2,621","6,053",
00124700,NAPA VALLEY COLLEGE                     ,CA,94558-6236,Public       ,"1,104",524,"1,628",
00124900,OCCIDENTAL COLLEGE                      ,CA,90041-3314,Private      ,"1,516",121,"1,637",
00125000,ORANGE COAST COLLEGE - FIN AID OFF      ,CA,92628-5005,Public       ,"4,977","2,160","7,137",
00125100,OTIS COLLEGE OF ART AND DESIGN          ,CA,90045-3505,Private      ,895,226,"1,121",
00125200,HOPE INTERNATIONAL UNIVERSITY           ,CA,92631-0000,Private      ,279,214,493,
00125300,FRESNO PACIFIC UNIVERSITY               ,CA,93702-4798,Private      ,"1,134","1,495","2,629",
00125500,PACIFIC OAKS COLLEGE                    ,CA,91103-3606,Private      ,22,566,588,
00125600,PACIFIC SCHOOL OF RELIGION              ,CA,94709-0000,Private      ,2,28,30,
00125800,PACIFIC UNION COLLEGE                   ,CA,94508-9797,Private      ,353,123,476,
00125900,PALO VERDE COLLEGE                      ,CA,92225-0000,Public       ,54,96,150,
00126000,PALOMAR COLLEGE                         ,CA,92069-1486,Public       ,"3,571","2,063","5,634",
00126100,PASADENA CITY COLLEGE                   ,CA,91106-2003,Public       ,"6,197","3,339","9,536",
00126200,POINT LOMA NAZARENE UNIVERSITY          ,CA,92106-2899,Private      ,"1,805",989,"2,794",
00126600,LANEY COLLEGE                           ,CA,94607-4893,Public       ,"1,221","1,311","2,532",
00126700,MERRITT COLLEGE                         ,CA,94619-3196,Public       ,926,"1,066","1,992",
00126800,PORTERVILLE COLLEGE                     ,CA,93257-6059,Public       ,755,448,"1,203",
00126900,RIO HONDO COLLEGE                       ,CA,90601-1699,Public       ,"3,912","1,974","5,886",
00127000,RIVERSIDE CITY COLLEGE                  ,CA,92506-1299,Public       ,"6,887","4,251","11,138",
00127200,SAN BERNARDINO VALLEY COLLEGE           ,CA,92410-2798,Public       ,"2,523","2,790","5,313",
00127300,SAN DIEGO CITY COLLEGE                  ,CA,92101-4787,Public       ,"3,327","3,342","6,669",
00127500,SAN DIEGO MESA COLLEGE                  ,CA,92111-4996,Public       ,"3,550","3,043","6,593",
00127800,SAN FRANCISCO CONSERVATORY OF MUSIC     ,CA,94122-4498,Private      ,119,239,358,
00128000,SAN JOAQUIN DELTA COLLEGE               ,CA,95207-6370,Public       ,"3,717","2,332","6,049",
00128100,WILLIAM JESSUP UNIVERSITY               ,CA,95765-3784,Private      ,452,308,760,
00128200,SAN JOSE CITY COLLEGE                   ,CA,95128-2797,Public       ,"2,100","1,508","3,608",
00128400,SANTA ANA COLLEGE                       ,CA,92706-3398,Public       ,"3,692","2,154","5,846",
00128500,SANTA BARBARA CITY COLLEGE              ,CA,93109-2394,Public       ,"2,877","1,158","4,035",
00128600,SANTA MONICA COLLEGE                    ,CA,90405-1644,Public       ,"6,233","3,491","9,724",
00128700,SANTA ROSA JUNIOR COLLEGE               ,CA,95401-4395,Public       ,"2,591","1,465","4,056",
00128800,CLAREMONT SCHOOL OF THEOLOGY            ,CA,91711-0000,Private      ,0,42,42,
00128900,SHASTA COLLEGE                          ,CA,96049-7692,Public       ,"1,456","1,416","2,872",
00129000,SIERRA COLLEGE                          ,CA,95677-3397,Public       ,"4,238","1,859","6,097",
00129100,SIMPSON UNIVERSITY                      ,CA,96003-8606,Private      ,390,280,670,
00129200,SOLANO COMMUNITY COLLEGE                ,CA,94534-3197,Public       ,"1,388","1,018","2,406",
00129300,VANGUARD UNIVERSITY OF SOUTHERN CA      ,CA,92626-6597,Private      ,"1,242",282,"1,524",
00129400,SOUTHWESTERN COLLEGE                    ,CA,91910-7299,Public       ,"3,773","2,127","5,900",
00129500,SOUTHWESTERN LAW SCHOOL                 ,CA,90010-1106,Private      ,36,854,890,
00129600,DOMINICAN SCH PHILOSOPHY & THEOLOGY     ,CA,94709-0000,Private      ,6,11,17,
00130200,SAINT MARY'S COLLEGE OF CALIFORNIA      ,CA,94556-0000,Private      ,"1,065",405,"1,470",
00130500,STANFORD UNIVERSITY                     ,CA,94305-6106,Private      ,"7,561","1,968","9,529",
00130501,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,CA,94305-5404,Private      ,196,351,547,
00130502,STANFORD UNIVERSITY - GRAD SCH BUSINESS ,CA,94305-7298,Private      ,69,249,318,
00130503,STANFORD UNIVERSITY - STANFORD LAW SCHOO,CA,94305-8610,Private      ,99,"1,233","1,332",
00130700,FRESNO CITY COLLEGE                     ,CA,93741-0002,Public       ,"6,266","3,829","10,095",
00130800,REEDLEY COLLEGE                         ,CA,93654-2099,Public       ,"1,918",684,"2,602",
00130900,TAFT COLLEGE                            ,CA,93268-2317,Public       ,561,452,"1,013",
00131200,"UNIVERSITY OF CALIFORNIA, BERKELEY      ",CA,94720-1520,Public       ,"34,853","8,896","43,749",
00131300,UNIVERSITY OF CALIFORNIA-DAVIS          ,CA,95616-8558,Public       ,"30,664","8,024","38,688",
00131400,UNIVERSITY OF CALIFORNIA-IRVINE         ,CA,92697-0001,Public       ,"41,084","8,548","49,632",
00131500,UNIVERSITY OF CALIFORNIA (UCLA)         ,CA,90095-9000,Public       ,"46,958","11,798","58,756",
00131502,UNIV OF CALIFORNIA LOS ANG SCH MED      ,CA,90095-0000,Public       ,128,557,685,
00131503,UNIV OF CALIFORNIA LOS ANG DENTAL       ,CA,90095-0000,Public       ,50,67,117,
00131600,UNIVERSITY OF CALIFORNIA-RIVERSIDE      ,CA,92521-0209,Public       ,"25,024","5,165","30,189",
00131700,UNIVERSITY OF CALIFORNIA-SAN DIEGO      ,CA,92093-0013,Public       ,"38,144","6,473","44,617",
00131900,UNIVERSITY OF CALIFORNIA-SFRANCISCO     ,CA,94143-0402,Public       ,902,"2,403","3,305",
00132000,UNIVERSITY OF CALIFORNIA-SANTA BARB     ,CA,93106-3180,Public       ,"31,553","4,027","35,580",
00132100,UNIVERSITY OF CALIFORNIA-SANTA CRUZ     ,CA,95064-0001,Public       ,"22,252","2,663","24,915",
00132200,UNIVERSITY OF REDLANDS                  ,CA,92373-0999,Private      ,"1,857",861,"2,718",
00132500,UNIVERSITY OF SAN FRANCISCO             ,CA,94117-1080,Private      ,"5,488","3,028","8,516",
00132600,SANTA CLARA UNIVERSITY                  ,CA,95053-4956,Private      ,"2,811","1,173","3,984",
00132604,JESUIT SCHOOL OF THEOLOGY - BERKELEY    ,CA,94709-1193,Private      ,4,8,12,
00132800,UNIVERSITY OF SOUTHERN CALIFORNIA       ,CA,90089-0914,Private      ,"18,281","10,507","28,788",
00132900,UNIVERSITY OF THE PACIFIC               ,CA,95211-0197,Private      ,"1,850","1,871","3,721",
00133400,VENTURA COLLEGE                         ,CA,93003-3899,Public       ,"2,569","1,173","3,742",
00133500,VICTOR VALLEY COLLEGE                   ,CA,92395-5849,Public       ,"2,883","2,499","5,382",
00133800,WEST VALLEY COLLEGE                     ,CA,95070-5697,Public       ,"1,185",430,"1,615",
00134100,WESTMONT COLLEGE                        ,CA,93108-1099,Private      ,776,61,837,
00134200,WHITTIER COLLEGE                        ,CA,90601-0000,Private      ,861,164,"1,025",
00134300,WOODBURY UNIVERSITY                     ,CA,91510-7846,Private      ,649,267,916,
00134400,YUBA COLLEGE                            ,CA,95901-7699,Public       ,"1,064",699,"1,763",
00177212,TRINITY INTERNATIONAL UNIV-CA           ,CA,92705-0000,Private      ,7,166,173,
00188100,ASHFORD UNIVERSITY                      ,CA,92123-1406,Proprietary  ,311,"7,560","7,871",
00274100,AMERICAN JEWISH UNIVERSITY              ,CA,90077-1599,Private      ,3,34,37,
00301002,ANTIOCH UNIV/LOS ANGELES                ,CA,90230-7615,Private      ,28,338,366,
00301003,ANTIOCH  UNIV/SANTA BARBARA             ,CA,93101-0000,Private      ,292,200,492,
00369110,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE ,CA,93940-2691,Private      ,21,179,200,
00394700,UC-HASTINGS COLLEGE OF THE LAW          ,CA,94102-0000,Public       ,19,"1,314","1,333",
00394800,SAN FRANCISCO ART INSTITUTE             ,CA,94133-2299,Private      ,224,125,349,
00408000,STARR KING SCHOOL FOR THE MINISTRY      ,CA,94613-1000,Private      ,0,56,56,
00448000,DE ANZA COLLEGE                         ,CA,95014-5793,Public       ,"3,636","1,471","5,107",
00448100,OHLONE COLLEGE                          ,CA,94539-5847,Public       ,"1,145",565,"1,710",
00448400,JOHN F. KENNEDY UNIVERSITY              ,CA,94523-4817,Private      ,9,41,50,
00450200,CITY COLLEGE OF SAN FRANCISCO           ,CA,94112-1821,Public       ,"2,730","2,919","5,649",
00563800,DOWNEY ADULT SCHOOL                     ,CA,90241-5610,Public       ,73,210,283,
00565500,HACIENDA LA PUENTE ADULT EDUC CTR       ,CA,91746-0000,Public       ,59,121,180,
00616500,LA CNTY CLG OF NURSING & ALLD HLTH      ,CA,90033-1018,Public       ,115,173,288,
00672000,COLLEGE OF ALAMEDA                      ,CA,94501-2109,Public       ,734,643,"1,377",
00673100,CASA LOMA COLLEGE                       ,CA,91405-4523,Private      ,56,140,196,
00697300,CANADA COLLEGE                          ,CA,94061-1099,Public       ,628,378,"1,006",
00697500,LINCOLN UNIVERSITY                      ,CA,94612-2801,Private      ,4,7,11,
00701200,SAMUEL MERRITT UNIVERSITY               ,CA,94609-3108,Private      ,130,"1,284","1,414",
00704700,LOS ANGELES SOUTHWEST COLLEGE           ,CA,90047-4810,Public       ,"1,274","1,618","2,892",
00705000,BELLUS ACADEMY                          ,CA,91950-3616,Proprietary  ,56,110,166,
00711500,MOORPARK COLLEGE                        ,CA,93021-1695,Public       ,"2,523","1,030","3,553",
00713000,NEWBERRY SCHOOL OF BEAUTY               ,CA,91344-7404,Proprietary  ,32,18,50,
00714200,LYLE'S COLLEGE OF BEAUTY                ,CA,93710-3948,Proprietary  ,73,87,160,
00718700,NORTH ADRIAN'S COLLEGE OF BEAUTY        ,CA,95350-2381,Proprietary  ,37,36,73,
00720300,SALON SUCCESS ACADEMY                   ,CA,91786-4060,Proprietary  ,88,171,259,
00720400,MODERN BEAUTY ACADEMY                   ,CA,93030-7016,Proprietary  ,35,26,61,
00720900,REDONDO BEACH BEAUTY COLLEGE            ,CA,90505-5909,Proprietary  ,18,21,39,
00725300,FEDERICO BEAUTY INSTITUTE               ,CA,95834-1905,Proprietary  ,144,190,334,
00729600,COLEMAN UNIVERSITY                      ,CA,92123-1506,Private      ,28,28,56,
00746901,HUSSIAN COLLEGE-RELATIVITY CAMPUS CALIFO,CA,90017-2019,Proprietary  ,68,16,84,
